Entity,Code,Year,Legal equality index,Primary enrollment,Primary enrollment Year,Secondary enrollment,Secondary enrollment Year,Tertiary enrollment,Tertiary enrollment Year
Afghanistan,AFG,2025,0.51,109.07531,2019.0,57.35785,2018.0,10.85436,2020.0
Albania,ALB,2025,62.27,93.71381,2023.0,96.13688,2023.0,64.72935,2023.0
Algeria,DZA,2025,3.72,105.84075,2023.0,101.26489,2023.0,55.53202,2023.0
Andorra,AND,2025,85.71,97.44467,2023.0,99.50865,2023.0,62.41069,2023.0
Angola,AGO,2025,48.64,87.01947,2022.0,53.13515,2021.0,10.04936,2023.0
Antigua and Barbuda,ATG,2025,44.65,112.25541,2023.0,108.880775,2023.0,25.11563,2012.0
Argentina,ARG,2025,89.35,106.75983,2022.0,114.14812,2022.0,107.1039,2022.0
Armenia,ARM,2025,43.18,98.08999,2023.0,89.4111,2023.0,56.27701,2023.0
Australia,AUS,2025,87.73,99.36575,2023.0,134.09924,2023.0,104.64835,2023.0
Austria,AUT,2025,90.68,100.90287,2023.0,100.50437,2023.0,91.68182,2023.0
Azerbaijan,AZE,2025,29.76,101.9797,2023.0,92.75891,2023.0,41.39076,2023.0
Bahamas,BHS,2025,45.12,78.39319,2023.0,87.14552,2023.0,14.84258,1995.0
Bahrain,BHR,2025,31.11,94.03496,2023.0,104.68574,2023.0,57.05622,2023.0
Bangladesh,BGD,2025,14.72,103.116425,2023.0,65.98566,2023.0,24.200344,2023.0
Barbados,BRB,2025,42.44,88.00757,2023.0,102.5137,2023.0,65.14738,2011.0
Belarus,BLR,2025,37.73,95.21836,2023.0,97.4266,2023.0,72.82502,2023.0
Belgium,BEL,2025,86.43,102.17699,2022.0,142.91808,2022.0,83.57365,2022.0
Belize,BLZ,2025,51.22,97.78745,2023.0,83.61955,2023.0,22.37341,2023.0
Benin,BEN,2025,41.91,108.03624,2022.0,43.56065,2022.0,10.23501,2022.0
Bhutan,BTN,2025,56.76,105.26615,2022.0,89.98291,2022.0,15.0075,2023.0
Bolivia,BOL,2025,85.24,98.93454,2023.0,92.40052,2023.0,,
Bosnia and Herzegovina,BIH,2025,59.7,101.19488,2023.0,87.86638,2023.0,45.50276,2023.0
Botswana,BWA,2025,56.1,109.273254,2022.0,70.62926,2021.0,20.565823,2023.0
Brazil,BRA,2025,95.06,103.97032,2022.0,106.03119,2022.0,60.39062,2022.0
Brunei,BRN,2025,3.26,96.92922,2023.0,91.83816,2023.0,36.418274,2023.0
Bulgaria,BGR,2025,51.82,95.42322,2023.0,95.62396,2023.0,79.85323,2023.0
Burkina Faso,BFA,2025,29.47,72.23859,2023.0,30.85512,2023.0,10.10788,2023.0
Burundi,BDI,2025,7.91,101.66109,2020.0,44.91517,2020.0,6.02546,2023.0
Cambodia,KHM,2025,45.0,107.03902,2023.0,56.786476,2023.0,17.436235,2023.0
Cameroon,CMR,2025,3.16,114.42483,2023.0,44.8408,2023.0,16.04044,2023.0
Canada,CAN,2025,95.35,94.74498,2022.0,107.47938,2022.0,78.8985,2022.0
Cape Verde,CPV,2025,49.47,103.02597,2021.0,97.00593,2021.0,24.2906,2018.0
Central African Republic,CAF,2025,27.03,118.477425,2017.0,15.80744,2017.0,2.7752,2012.0
Chad,TCD,2025,15.0,88.34366,2023.0,24.19416,2023.0,4.39666,2020.0
Chile,CHL,2025,100.0,100.31838,2023.0,105.83097,2023.0,104.73406,2023.0
China,CHN,2025,42.38,99.17568,2023.0,92.26031,2012.0,74.5933,2023.0
Colombia,COL,2025,97.73,104.83047,2022.0,101.57378,2022.0,59.29014,2022.0
Comoros,COM,2025,12.82,96.95547,2023.0,53.973717,2023.0,9.54865,2014.0
Congo,COG,2025,47.62,87.88024,2023.0,65.723335,2018.0,10.38121,2023.0
Costa Rica,CRI,2025,83.33,106.15662,2023.0,125.51007,2023.0,55.02029,2019.0
Cote d'Ivoire,CIV,2025,33.0,91.80934,2023.0,63.96076,2023.0,11.57243,2023.0
Croatia,HRV,2025,78.64,100.52798,2022.0,105.5778,2022.0,80.76267,2022.0
Cuba,CUB,2025,80.91,99.65291,2023.0,96.31524,2023.0,49.72857,2023.0
Cyprus,CYP,2025,78.0,97.00164,2022.0,104.00572,2022.0,98.30458,2022.0
Czechia,CZE,2025,75.46,100.97535,2022.0,102.93556,2022.0,70.81459,2022.0
Democratic Republic of Congo,COD,2025,32.09,117.6021,2023.0,55.4861,2023.0,6.37988,2020.0
Denmark,DNK,2025,92.86,99.86989,2023.0,126.98079,2023.0,81.23082,2023.0
Djibouti,DJI,2025,37.3,,,,,5.16012,2011.0
Dominica,DMA,2025,44.87,99.07216,2023.0,102.58581,2023.0,6.94803,1993.0
Dominican Republic,DOM,2025,40.48,101.64485,2023.0,75.48056,2023.0,55.16653,2022.0
East Timor,TLS,2025,48.84,119.652695,2023.0,84.74104,2020.0,30.961111,2023.0
Ecuador,ECU,2025,87.5,97.3007,2023.0,93.41627,2023.0,59.87978,2022.0
Egypt,EGY,2025,5.12,95.92171,2023.0,84.47486,2023.0,37.90056,2023.0
El Salvador,SLV,2025,41.03,91.06006,2023.0,65.57099,2023.0,32.38026,2023.0
Equatorial Guinea,GNQ,2025,38.18,49.274384,2021.0,17.75948,2005.0,5.1475296,2019.0
Eritrea,ERI,2025,4.87,89.73125,2022.0,44.04413,2022.0,3.20262,2016.0
Estonia,EST,2025,80.48,98.33816,2023.0,108.44207,2023.0,67.61793,2023.0
Eswatini,SWZ,2025,26.22,116.527,2023.0,82.02394,2016.0,6.43546,2013.0
Ethiopia,ETH,2025,6.51,83.73197,2023.0,33.911423,2015.0,10.104031,2018.0
Fiji,FJI,2025,59.76,111.93661,2023.0,98.54018,2023.0,60.967907,2023.0
Finland,FIN,2025,85.0,99.11517,2023.0,142.86172,2023.0,108.13041,2023.0
France,FRA,2025,88.64,102.72058,2022.0,104.25625,2022.0,71.42031,2022.0
Gabon,GAB,2025,41.0,99.68777,2021.0,71.0795,2021.0,14.704789,2021.0
Gambia,GMB,2025,1.84,98.73597,2023.0,107.02712,2021.0,2.51411,2012.0
Georgia,GEO,2025,45.58,100.88726,2023.0,103.18359,2023.0,78.26522,2023.0
Germany,DEU,2025,100.0,99.26583,2023.0,99.05332,2023.0,76.31568,2023.0
Ghana,GHA,2025,19.51,98.23024,2022.0,77.81687,2022.0,22.09583,2023.0
Greece,GRC,2025,89.55,101.19203,2022.0,106.21671,2022.0,166.66565,2022.0
Greenland,GRL,2025,90.75,,,,,,
Grenada,GRD,2025,25.26,97.4662,2023.0,106.16043,2016.0,99.9892,2018.0
Guatemala,GTM,2025,46.05,102.03223,2023.0,47.37625,2023.0,27.29489,2023.0
Guinea,GIN,2025,16.92,104.00099,2023.0,35.55564,2021.0,6.656792,2021.0
Guinea-Bissau,GNB,2025,49.71,113.43678,2010.0,34.39664,2006.0,2.62031,2006.0
Guyana,GUY,2025,25.8,94.44606,2023.0,84.48505,2023.0,11.70276,2012.0
Haiti,HTI,2025,45.46,115.84243,1998.0,17.16561,1986.0,1.05141,1986.0
Honduras,HND,2025,55.71,82.92078,2023.0,54.50127,2023.0,22.472614,2023.0
Hungary,HUN,2025,60.46,103.57076,2023.0,105.41906,2023.0,56.59244,2023.0
Iceland,ISL,2025,97.62,98.51164,2022.0,112.58939,2022.0,84.98524,2022.0
India,IND,2025,61.16,112.031235,2023.0,78.86396,2023.0,34.239433,2023.0
Indonesia,IDN,2025,32.27,98.15663,2023.0,96.00021,2023.0,44.8813,2023.0
Iran,IRN,2025,6.05,104.68013,2020.0,85.1914,2020.0,58.66777,2022.0
Iraq,IRQ,2025,3.0,104.57023,2007.0,50.57424,2007.0,15.5581,2005.0
Ireland,IRL,2025,85.0,99.61994,2022.0,133.1505,2022.0,76.60495,2022.0
Israel,ISR,2025,76.36,96.31257,2022.0,96.58537,2022.0,57.63792,2022.0
Italy,ITA,2025,68.68,103.56602,2023.0,100.67876,2023.0,75.94965,2023.0
Jamaica,JAM,2025,24.76,87.73755,2023.0,85.43531,2023.0,26.23341,2015.0
Japan,JPN,2025,58.0,102.15871,2022.0,102.33797,2022.0,64.62883,2022.0
Jordan,JOR,2025,33.66,98.29949,2023.0,91.96968,2023.0,33.0567,2023.0
Kazakhstan,KAZ,2025,38.52,98.980446,2023.0,95.2393,2023.0,54.6564,2023.0
Kenya,KEN,2025,20.79,77.51322,2019.0,57.74071,2009.0,10.49756,2019.0
Kiribati,KIR,2025,28.33,97.36554,2023.0,94.7442,2023.0,0.0,2012.0
Kuwait,KWT,2025,5.64,102.40284,2015.0,95.3934,2015.0,51.89672,2021.0
Kyrgyzstan,KGZ,2025,33.85,98.09634,2023.0,91.265526,2023.0,53.58882,2023.0
Laos,LAO,2025,47.27,95.03825,2023.0,54.43306,2023.0,14.88417,2023.0
Latvia,LVA,2025,61.86,98.46664,2023.0,102.12624,2023.0,85.73606,2023.0
Lebanon,LBN,2025,17.56,78.20269,2023.0,62.82792,2023.0,54.40126,2023.0
Lesotho,LSO,2025,51.91,81.64123,2023.0,59.35865,2017.0,10.982704,2020.0
Liberia,LBR,2025,27.18,66.593925,2022.0,43.653114,2022.0,10.83852,2012.0
Libya,LBY,2025,4.29,106.99824,2006.0,97.60951,2006.0,58.5437,2003.0
Liechtenstein,LIE,2025,68.57,102.11014,2021.0,118.72687,2021.0,46.01896,2021.0
Lithuania,LTU,2025,67.73,101.90583,2022.0,106.91836,2022.0,76.91546,2022.0
Luxembourg,LUX,2025,80.8,99.48426,2022.0,107.83976,2022.0,21.0326,2022.0
Madagascar,MDG,2025,40.0,130.59904,2023.0,34.132034,2021.0,6.14666,2023.0
Malawi,MWI,2025,12.09,126.58776,2022.0,35.50849,2022.0,2.7081368,2022.0
Malaysia,MYS,2025,8.21,91.50211,2023.0,79.54137,2023.0,37.274582,2023.0
Maldives,MDV,2025,15.79,100.477974,2023.0,79.35653,2023.0,48.496864,2022.0
Mali,MLI,2025,4.29,72.78364,2023.0,38.93889,2023.0,4.591673,2019.0
